,Do not Touch This Cell,,,,,,,,,,,,,,,,,,,,,,,,,JP Server Start,2021-02-24,,,,,Today's Date UTC,,Whale,Huge Spender,,,WATCH MY BANNER PREVIEW VIDEO,,,,,,,5.2,,Misc,1800,,,,,,,Date Mult,0.7,,,k1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-27 21:25:13,,Dolphin,Purchase Non Discounted Carats,,,,,,,,,,,,,,,,,,,,Date Offset,0,,,n/a,,,,,,,,,,,,,,
2026-07-01,Banner 1,Banner 2,Banner 3,Banner 4,Banner 5,Banner 6,Banner 7,Banner 8,Banner 9,Banner 10,Banner 11,Banner 12,Banner 13,Banner 14,Banner 15,Banner 16,Banner 17,Banner 18,Banner 19,Banner 20,Banner 21,Banner 22,Banner 23,Banner 24,Banner 25,,,,,,,2026-06-27,,Must Pull,FTP+Low Spender,,,,,,,,,,,,,,,,,,,,Incomplete Banner Trimmer,,,,k3,,,,,,,,,,,,,,
2026-07-20,Support,Support,Uma,Uma,Support,Support,Uma,Support,Support,Uma,Support,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,Uma,JP,,Global,,,,,,Recommended,,,,,,,,,,,,,,,,,,,,,Cutoff Date,2029-02-15,,,Concatenate Names for Dropdowns,,,True False Check for Dropdowns,,,Pull Tickets,,Limit Break Crystals,,,Champion Meeting,,League of Heroes,
2026-11-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Start Date,End Date,Start Date,End Date,,Releases In,,,,,,,,,Event,,Story,,,ImportRange Columns must be kept empty,,,,,,,,,,,,,,Uma Banner,Support Card,Anniversaries,Uma Banner,Support Card,Anniversaries,Uma Sum,Support Sum,SSR Shard Sum,SR Shard Sum,End Date,CM Sum,End Date,LoH Sum,End Date
2026-11-08,Air Groove,Air Groove,Air Shakur,Air Shakur,Air Groove,Air Groove,Air Shakur,Air Groove,Air Groove,Air Shakur,Air Groove,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,Air Shakur,2021-02-24,2021-03-02,2025-06-26,2025-07-02,,-365 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-25,The Throne's Assemblage,The Throne's Assemblage,Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),The Throne's Assemblage,The Throne's Assemblage,Seiun Sky (Rerun) + Narita Brian (Rerun),The Throne's Assemblage,The Throne's Assemblage,Seiun Sky (Rerun) + Narita Brian (Rerun),The Throne's Assemblage,Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),Seiun Sky (Rerun) + Narita Brian (Rerun),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-01-08,Maruzensky + Nakayama Festa,Maruzensky + Nakayama Festa,Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Maruzensky + Nakayama Festa,Maruzensky + Nakayama Festa,Mejiro McQueen (Summer) + Gold Ship (Summer),Maruzensky + Nakayama Festa,Maruzensky + Nakayama Festa,Mejiro McQueen (Summer) + Gold Ship (Summer),Maruzensky + Nakayama Festa,Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),Mejiro McQueen (Summer) + Gold Ship (Summer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-04-01,Ikuno Dictus + Yukino Bijin,Ikuno Dictus + Yukino Bijin,Bamboo Memory,Bamboo Memory,Ikuno Dictus + Yukino Bijin,Ikuno Dictus + Yukino Bijin,Bamboo Memory,Ikuno Dictus + Yukino Bijin,Ikuno Dictus + Yukino Bijin,Bamboo Memory,Ikuno Dictus + Yukino Bijin,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,Bamboo Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-06-02,Manhattan Cafe,Manhattan Cafe,Copano Rickey,Copano Rickey,Manhattan Cafe,Manhattan Cafe,Copano Rickey,Manhattan Cafe,Manhattan Cafe,Copano Rickey,Manhattan Cafe,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,Copano Rickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-12-13,Light Hello + Agnes Tachyon,Light Hello + Agnes Tachyon,Smart Falcon (Grand Live),Smart Falcon (Grand Live),Light Hello + Agnes Tachyon,Light Hello + Agnes Tachyon,Smart Falcon (Grand Live),Light Hello + Agnes Tachyon,Light Hello + Agnes Tachyon,Smart Falcon (Grand Live),Light Hello + Agnes Tachyon,Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),Smart Falcon (Grand Live),,,,,,Special Week,Silence Suzuka,Tokai Teio,Maruzensky,Oguri Cap,Taiki Shuttle,Mejiro McQueen,Symboli Rudolf,Rice Shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-04-20,Tokai Teio + Twin Turbo,Tokai Teio + Twin Turbo,Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Tokai Teio + Twin Turbo,Tokai Teio + Twin Turbo,Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Tokai Teio + Twin Turbo,Tokai Teio + Twin Turbo,Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Tokai Teio + Twin Turbo,Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),Winning Ticket (Steampunk) + Narita Taishin (Steampunk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date Override,,Start Date,End Date,,,,,,,,,,,,,,,
2028-08-08,Smart Falcon + Silence Suzuka,Smart Falcon + Silence Suzuka,Yukino Bijin,Yukino Bijin,Smart Falcon + Silence Suzuka,Smart Falcon + Silence Suzuka,Yukino Bijin,Smart Falcon + Silence Suzuka,Smart Falcon + Silence Suzuka,Yukino Bijin,Smart Falcon + Silence Suzuka,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,Yukino Bijin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26,,2025-06-26,2025-07-02,,,,,,,,,,,,,,,
2028-10-02,Daiichi Ruby,Daiichi Ruby,Seeking the Pearl,Seeking the Pearl,Daiichi Ruby,Daiichi Ruby,Seeking the Pearl,Daiichi Ruby,Daiichi Ruby,Seeking the Pearl,Daiichi Ruby,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,Seeking the Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banner Type,-2,2025-06-26 22:00:00,2025-07-02 21:59:59,Special Week + Silence Suzuka + Tokai Teio + Maruzensky + Oguri Cap + Taiki Shuttle + Mejiro McQueen + Symboli Rudolf + Rice Shower,Special Week + Silence Suzuka + Tokai Teio + Gold Ship + Vodka + Grass Wonder + El Condor Pasa + Seiun Sky + Tamamo Cross + Fine Motion + Ines Fujin + Winning Ticket + Air Shakur + Gold City + Sakura Bakushin O + Super Creek + Smart Falcon + Nishino Flower + Biko Pegasus + Tazuna,,,,,,,,,,,,,
2028-10-25,Mejiro Palmer + Daitaku Helios,Mejiro Palmer + Daitaku Helios,Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Mejiro Palmer + Daitaku Helios,Mejiro Palmer + Daitaku Helios,Agnes Digital (Halloween) + Meisho Doto (Halloween),Mejiro Palmer + Daitaku Helios,Mejiro Palmer + Daitaku Helios,Agnes Digital (Halloween) + Meisho Doto (Halloween),Mejiro Palmer + Daitaku Helios,Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),Agnes Digital (Halloween) + Meisho Doto (Halloween),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP,,JP Datedif,0,,,,,,,,,,,,,,,
